timestamp,date,tic,day,open,high,low,close,volume
1491,2021-12-06,BTCUSDT,0,49396.32,50891.11,47100.0,50441.92,58571.21575
1491,2021-12-06,ETHUSDT,0,4196.44,4376.15,3921.0,4347.59,726742.9638
1492,2021-12-07,BNBUSDT,1,587.5,594.1,572.2,578.7,1017363.943
1492,2021-12-07,BTCUSDT,1,50441.91,51936.33,50039.74,50588.95,38253.46877
1492,2021-12-07,ETHUSDT,1,4347.57,4425.0,4255.92,4306.4,420749.751
1493,2021-12-08,BNBUSDT,2,578.7,607.6,567.0,607.2,1113215.449
1493,2021-12-08,BTCUSDT,2,50588.95,51200.0,48600.0,50471.19,38425.92466
1493,2021-12-08,ETHUSDT,2,4306.4,4450.49,4222.95,4436.91,429403.9351
1494,2021-12-09,BNBUSDT,3,607.3,617.0,567.7,570.2,1096635.012
1494,2021-12-09,BTCUSDT,3,50471.19,50797.76,47320.0,47545.59,37692.68665
1494,2021-12-09,ETHUSDT,3,4436.91,4488.0,4076.16,4105.64,462173.711
1495,2021-12-10,BNBUSDT,4,570.2,595.1,550.2,552.4,1083121.564
1495,2021-12-10,BTCUSDT,4,47535.9,50125.0,46852.0,47140.54,44233.57391
1495,2021-12-10,ETHUSDT,4,4105.64,4231.08,3887.37,3897.94,563236.5671
1496,2021-12-11,BNBUSDT,5,552.5,572.7,542.0,564.5,950448.474
1496,2021-12-11,BTCUSDT,5,47140.54,49485.71,46751.0,49389.99,28889.19358
1496,2021-12-11,ETHUSDT,5,3898.31,4097.08,3828.22,4089.37,427853.4343
1497,2021-12-12,BNBUSDT,6,564.6,574.8,559.3,570.3,544940.336
1497,2021-12-12,BTCUSDT,6,49389.99,50777.0,48638.0,50053.9,26017.93421
1497,2021-12-12,ETHUSDT,6,4089.68,4173.63,3986.25,4130.0,260535.5157
1498,2021-12-13,BNBUSDT,0,570.3,572.2,511.1,521.0,1037150.705
1498,2021-12-13,BTCUSDT,0,50053.9,50189.97,45672.75,46702.75,50869.52093
1498,2021-12-13,ETHUSDT,0,4130.0,4142.75,3671.45,3781.93,533467.2307
1499,2021-12-14,BNBUSDT,1,521.0,535.8,509.7,528.1,1263782.101
1499,2021-12-14,BTCUSDT,1,46702.76,48700.41,46290.0,48343.28,39955.98445
1499,2021-12-14,ETHUSDT,1,3781.92,3882.74,3685.0,3858.99,395145.7462
1500,2021-12-15,BNBUSDT,2,528.0,546.7,501.6,541.1,1147515.305
1500,2021-12-15,BTCUSDT,2,48336.95,49500.0,46547.0,48864.98,51629.181
1500,2021-12-15,ETHUSDT,2,3858.99,4092.22,3643.73,4019.08,542068.0573
1501,2021-12-16,BNBUSDT,3,541.1,545.3,524.8,526.2,735504.682
1501,2021-12-16,BTCUSDT,3,48864.98,49436.43,47511.0,47632.38,31949.86739
1501,2021-12-16,ETHUSDT,3,4019.54,4113.43,3942.11,3958.11,368780.031
1502,2021-12-17,BNBUSDT,4,526.2,535.8,511.0,525.5,921732.763
1502,2021-12-17,BTCUSDT,4,47632.38,47995.96,45456.0,46131.2,43104.4887
1502,2021-12-17,ETHUSDT,4,3959.11,3994.1,3700.0,3875.42,463370.9225
1503,2021-12-18,BNBUSDT,5,525.5,537.8,515.0,533.9,580436.098
1503,2021-12-18,BTCUSDT,5,46133.83,47392.37,45500.0,46834.48,25020.05271
1503,2021-12-18,ETHUSDT,5,3875.43,3996.93,3767.01,3959.93,339593.2543
1504,2021-12-19,BNBUSDT,6,533.9,544.4,527.1,529.8,540256.684
1504,2021-12-19,BTCUSDT,6,46834.47,48300.01,46406.91,46681.23,29305.70665
1504,2021-12-19,ETHUSDT,6,3959.93,4032.43,3884.0,3924.14,306006.323
1505,2021-12-20,BNBUSDT,0,529.8,534.8,505.6,524.0,727454.212
1505,2021-12-20,BTCUSDT,0,46681.24,47537.57,45558.85,46914.16,35848.50609
1505,2021-12-20,ETHUSDT,0,3924.14,3983.37,3753.0,3944.73,366916.4771
1506,2021-12-21,BNBUSDT,1,524.0,535.7,509.8,528.3,686439.708
1506,2021-12-21,BTCUSDT,1,46914.17,49328.96,46630.0,48889.88,37713.92924
1506,2021-12-21,ETHUSDT,1,3944.72,4063.0,3913.21,4014.15,340826.3553
1507,2021-12-22,BNBUSDT,2,528.4,545.0,527.2,533.6,721787.109
1507,2021-12-22,BTCUSDT,2,48887.59,49576.13,48421.87,48588.16,27004.2022
1507,2021-12-22,ETHUSDT,2,4014.41,4074.87,3933.4,3979.51,303191.8076
1508,2021-12-23,BNBUSDT,3,533.6,552.6,524.3,549.0,844421.954
1508,2021-12-23,BTCUSDT,3,48588.17,51375.0,47920.42,50838.81,35192.54046
1508,2021-12-23,ETHUSDT,3,3979.51,4150.0,3893.23,4111.41,380207.8166
1509,2021-12-24,BNBUSDT,4,549.0,554.4,537.4,542.1,665688.415
1509,2021-12-24,BTCUSDT,4,50838.82,51810.0,50384.43,50820.0,31684.84269
1509,2021-12-24,ETHUSDT,4,4111.41,4134.84,4017.17,4046.36,230833.1661
1510,2021-12-25,BNBUSDT,5,542.1,550.5,539.1,547.4,455399.793
1510,2021-12-25,BTCUSDT,5,50819.99,51156.23,50142.32,50399.66,19135.51613
1510,2021-12-25,ETHUSDT,5,4046.35,4137.91,4018.62,4094.83,208126.8805
1511,2021-12-26,BNBUSDT,6,547.4,549.3,535.6,546.4,536338.775
1511,2021-12-26,BTCUSDT,6,50399.67,51280.0,49412.0,50775.49,22569.88914
1511,2021-12-26,ETHUSDT,6,4094.36,4105.0,4000.0,4063.56,189309.255
1512,2021-12-27,BNBUSDT,0,546.5,572.0,543.1,563.7,803473.155
1512,2021-12-27,BTCUSDT,0,50775.48,52088.0,50449.0,50701.44,28792.21566
1512,2021-12-27,ETHUSDT,0,4063.57,4127.46,4031.0,4037.23,222225.3761
1513,2021-12-28,BNBUSDT,1,563.7,563.7,528.4,534.2,1002556.271
1513,2021-12-28,BTCUSDT,1,50701.44,50704.05,47313.01,47543.74,45853.33924
1513,2021-12-28,ETHUSDT,1,4037.22,4037.23,3759.36,3792.75,358064.7163
